adstrd_cd,adstrd_nm,frglty_psn_co,frglty_psn_pctl,fnds_ix,fnds_pctl,rnfl_ix,rnfl_pctl
1114066,서교동,4487,64,44.462,47,0.972,46
1114068,합정동,3822,57,16.773,24,0.33,8
1114069,망원1동,4849,67,13.844,4,0.321,6
1114070,망원2동,4863,67,13.844,5,0.321,6
1114071,연남동,3290,51,13.844,5,0.321,6
1114072,성산1동,4358,62,13.844,5,0.321,6
1114073,성산2동,10204,94,27.689,37,0.642,38
1114074,상암동,8467,90,15.34,15,0.339,13
1114075,도화동,5641,74,37.855,45,0.637,37
1114076,서강동,5516,73,83.866,57,1.649,55
1114077,공덕동,8711,90,68.63,54,1.25,51
1114078,아현동,6299,79,49.703,49,0.931,46
1115051,목1동,8467,90,14.838,12,0.339,20
1115052,목2동,6600,81,14.838,12,0.339,20
1115053,목3동,4965,68,14.838,12,0.339,20
1115054,목4동,5864,76,14.838,12,0.339,20
1115057,신월1동,5591,73,14.838,11,0.339,20
1115058,신월2동,5933,76,14.838,11,0.339,20
1115059,신월3동,4208,61,14.838,11,0.339,20
1115060,신월4동,5291,71,14.838,11,0.339,20
1115061,신월5동,3825,57,14.838,11,0.339,20
1115062,신월6동,3590,55,14.838,11,0.339,20
1115063,신월7동,5949,76,14.838,11,0.339,20
1115064,신정1동,5883,76,14.838,11,0.339,20
1115065,신정2동,5057,69,14.838,11,0.339,20
1115066,신정3동,12444,97,14.838,11,0.339,20
1115069,신정6동,6278,79,14.838,12,0.339,20
1115070,신정7동,8160,88,14.838,11,0.339,20
1115071,목5동,11160,96,14.838,12,0.339,20
1115072,신정4동,8354,89,14.838,12,0.339,20
1116051,염창동,10326,95,30.68,39,0.678,40
1116052,등촌1동,4481,64,15.34,15,0.339,13
1116053,등촌2동,4983,68,15.34,15,0.339,13
1116054,등촌3동,8708,90,15.34,15,0.339,13
1116055,화곡본동,8058,88,14.838,12,0.339,20
1116057,화곡2동,4700,66,14.838,12,0.339,20
1116058,화곡3동,5881,76,14.838,12,0.339,20
