호선,역명,승하차인원,도로명주소,행정동,위도,경도
6호선,동묘앞,15204.77419,서울특별시 종로구 지봉로 지하24,창신1동,37.57220052,127.0156781
6호선,디지털미디어시티,26795.16129,서울특별시 은평구 수색로 지하175,증산동,37.57716144,126.9019286
6호선,마포구청,24562.22581,서울특별시 마포구 월드컵로 지하190,성산2동,37.56342631,126.903357
6호선,망원,28188.54839,서울특별시 마포구 월드컵로 지하77,서교동,37.55605729,126.9100339
6호선,버티고개,3941.322581,서울특별시 중구 다산로 지하38,약수동,37.54804184,127.007085
6호선,보문,13364.70968,서울특별시 성북구 보문로 지하116,보문동,37.58532772,127.019387
6호선,봉화산,15380.96774,서울특별시 중랑구 신내로 지하232,신내2동,37.61765376,127.0907581
6호선,불광,8742.935484,서울특별시 은평구 통일로 지하723-1,대조동,37.61020726,126.9299858
6호선,삼각지,12598.0,서울특별시 용산구 한강대로 지하185,한강로동,37.53564505,126.9740805
6호선,상수,19793.03226,서울특별시 마포구 독막로 지하85,서강동,37.54777167,126.9224099
6호선,상월곡,10977.64516,서울특별시 성북구 화랑로 지하157,월곡2동,37.60626414,127.0483266
6호선,새절,21895.48387,서울특별시 은평구 증산로 지하400,신사2동,37.59182705,126.913912
6호선,석계,22140.35484,서울특별시 노원구 화랑로 지하 347-1,월계3동,37.61504808,127.0661184
6호선,신내,1.0,서울특별시 중랑구 용마산로136길 33 신내차량기지,망우본동,37.61009453,127.110258
6호선,신당,16073.41935,서울특별시 중구 다산로 지하260,신당동,37.56627389,127.0161535
6호선,안암,19205.64516,서울특별시 성북구 고려대로 지하89,안암동,37.58628048,127.029213
6호선,약수,6840.741935,서울특별시 중구 다산로 지하115,다산동,37.55389144,127.0101205
6호선,역촌,7978.903226,서울특별시 은평구 서오릉로 지하63,녹번동,37.60603905,126.9229679
6호선,연신내,3.444444444,서울특별시 은평구 통일로 지하849,불광2동,37.618962,126.9211621
6호선,월곡,20315.06452,서울특별시 성북구 월곡로 지하107,월곡2동,37.60142105,127.0411848
6호선,월드컵경기장,10639.70968,서울특별시 마포구 월드컵로 지하240,성산2동,37.56994257,126.8990333
6호선,응암,31703.29032,서울특별시 은평구 증산로 지하477,신사1동,37.59874233,126.9155128
6호선,이태원,23079.22581,서울특별시 용산구 이태원로 지하177,이태원1동,37.53448328,126.9937217
6호선,증산,17942.25806,서울특별시 은평구 증산로 지하306,증산동,37.58419548,126.9100576
6호선,창신,5714.0,서울특별시 종로구 지봉로 지하112,창신3동,37.58001689,127.0152112
6호선,청구,6883.677419,서울특별시 중구 청구로 지하77,신당동,37.56029391,127.013806
6호선,태릉입구,10487.58065,서울특별시 노원구 동일로 지하 992-1,공릉1동,37.61851378,127.0753684
6호선,한강진,18733.87097,서울특별시 용산구 이태원로 지하287,한남동,37.54029515,127.0017483
6호선,합정,25627.32258,서울특별시 마포구 양화로 지하45,합정동,37.54925919,126.9131909
6호선,화랑대,17648.83871,서울특별시 노원구 화랑로 지하510,공릉2동,37.61989439,127.0837446
6호선,효창공원앞,12220.51613,서울특별시 용산구 백범로 지하287,효창동,37.53937664,126.9612584
7호선,가산디지털단지,74254.29032,서울특별시 금천구 벚꽃로 309,가산동,37.48159574,126.8825595
7호선,강남구청,30486.32258,서울특별시 강남구 학동로 지하346,삼성2동,37.51718924,127.0413014
7호선,건대입구,25623.45161,서울특별시 광진구 능동로 지하110,화양동,37.54084161,127.0710464
7호선,고속터미널,30058.06452,서울특별시 서초구 신반포로 지하188,반포4동,37.50492674,127.0049499
7호선,공릉,21001.83871,서울특별시 노원구 동일로 지하1074,공릉1동,37.62547692,127.0730052
7호선,군자,24791.12903,서울특별시 광진구 천호대로 지하550,중곡1동,37.55736319,127.0790173
7호선,남구로,27569.51613,서울특별시 구로구 도림로 지하7,구로3동,37.48616184,126.887341
7호선,남성,20065.51613,서울특별시 동작구 사당로 지하218,사당4동,37.48444339,126.9717061
7호선,내방,25706.22581,서울특별시 서초구 서초대로 지하103,방배1동,37.48753353,126.9931903
7호선,노원,38255.58065,서울특별시 노원구 동일로 지하1409,상계2동,37.65469472,127.0605174
7호선,논현,31479.3871,서울특별시 강남구 학동로 지하102,논현1동,37.51119883,127.0216579
7호선,대림,16827.45161,서울특별시 영등포구 도림로 지하137,대림3동,37.49274307,126.8966118
7호선,도봉산,17609.77419,서울특별시 도봉구 도봉로 964-40,도봉2동,37.68912056,127.0465288
7호선,뚝섬유원지,16586.83871,서울특별시 광진구 능동로 10,자양3동,37.53158626,127.0667177
7호선,마들,22858.45161,서울특별시 노원구 동일로 지하1530-1,상계8동,37.66508643,127.0576877
7호선,먹골,18571.58065,서울특별시 중랑구 동일로 지하901,묵1동,37.61062506,127.0777648
7호선,면목,26537.90323,서울특별시 중랑구 면목로 지하407,면목본동,37.5883849,127.0875678
7호선,반포,10972.51613,서울특별시 서초구 신반포로 지하241,반포1동,37.50812639,127.011497
7호선,보라매,12507.32258,서울특별시 동작구 상도로 지하2,대방동,37.49991005,126.9204894
7호선,사가정,29182.19355,서울특별시 중랑구 사가정로 지하393,면목3.8동,37.58079455,127.0884391
7호선,상도,20028.51613,서울특별시 동작구 상도로 지하272,상도1동,37.50320805,126.9477004
7호선,상봉,30549.29032,서울특별시 중랑구 망우로 297,상봉1동,37.59670933,127.0857418
7호선,수락산,23344.35484,서울특별시 노원구 동일로 지하1662,상계1동,37.67762594,127.0553746
7호선,숭실대입구,22103.48387,서울특별시 동작구 상도로 지하378,상도1동,37.49581433,126.9540602
7호선,신대방삼거리,26598.25806,서울특별시 동작구 상도로 지하76,대방동,37.49972183,126.928223
7호선,신풍,19923.6129,서울특별시 영등포구 신풍로 지하27,신길6동,37.5001172,126.9098417
7호선,어린이대공원,23987.93548,서울특별시 광진구 능동로 지하210,능동,37.5478712,127.0745499
7호선,온수,16482.25806,서울특별시 구로구 경인로3길 지하64,수궁동,37.49215028,126.8233807
7호선,용마산,10562.87097,서울특별시 중랑구 용마산로 지하227,면목4동,37.57403021,127.0870381
7호선,이수,28550.41935,서울특별시 동작구 사당로 지하310,사당1동,37.48501514,126.9810218
7호선,장승배기,16686.87097,서울특별시 동작구 상도로 지하188,상도2동,37.5046658,126.9387444
7호선,중계,24973.54839,서울특별시 노원구 동일로 지하1308-1,중계2.3동,37.64489068,127.0642467
7호선,중곡,18967.25806,서울특별시 광진구 능동로 지하417,중곡3동,37.56552588,127.0840724
7호선,중화,19109.80645,서울특별시 중랑구 동일로 지하797,중화1동,37.6015797,127.0794692
7호선,천왕,19983.74194,서울특별시 구로구 오리로 지하1154,오류2동,37.48682194,126.8387137
7호선,청담,34794.93548,서울특별시 강남구 학동로 지하508,삼성1동,37.51945853,127.0537671
7호선,태릉입구,15301.77419,서울특별시 노원구 동일로 지하 992-1,공릉1동,37.61851378,127.0753684
7호선,하계,31141.03226,서울특별시 노원구 동일로 지하1196,하계2동,37.63645212,127.0679885
7호선,학동,42029.77419,서울특별시 강남구 학동로 지하180,논현2동,37.51420643,127.0314638
8호선,가락시장,14499.45161,서울특별시 송파구 송파대로 지하257,가락1동,37.49274403,127.1184857
8호선,강동구청,18787.12903,서울특별시 강동구 올림픽로 지하550,성내1동,37.53067409,127.1205761
8호선,몽촌토성,11838.93548,서울특별시 송파구 올림픽로 지하383,잠실4동,37.51762363,127.1124299
8호선,문정,36927.3871,서울특별시 송파구 송파대로 지하179,문정2동,37.48626182,127.1222903
8호선,복정,14845.96057,서울특별시 송파구 송파대로 지하6,위례동,37.471056,127.1267712
8호선,석촌,15593.09677,서울특별시 송파구 송파대로 지하439,석촌동,37.50594964,127.1063453
